,location,parameter,value,country,city,latitude,longitude,date
63,ES1923A,no2,3,ES,Barcelona,41.8460342084663,2.217575622,2020_03_08-01:00:00
64,ES1679A,no2,12,ES,Barcelona,41.3864139334672,2.187416735,2020_03_08-01:00:00
65,ES1148A,no2,66,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-01:00:00
66,ES1814A,no2,42,ES,Barcelona,41.5491688934669,2.212050059,2020_03_08-02:00:00
67,ES1275A,no2,22,ES,Barcelona,41.6890494414666,2.495746675,2020_03_08-02:00:00
68,ES1773A,no2,7,ES,Barcelona,41.2022318394677,1.672200024,2020_03_08-02:00:00
69,ES1778A,no2,2,ES,Barcelona,41.7793434514664,2.358018901,2020_03_08-02:00:00
70,ES1817A,no2,50,ES,Barcelona,41.5267059304669,2.183795315,2020_03_08-02:00:00
71,ES1148A,no2,63,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-02:00:00
72,ES1480A,no2,39,ES,Barcelona,41.3987432504672,2.153385124,2020_03_08-02:00:00
73,ES1438A,no2,50,ES,Barcelona,41.3853432834672,2.15382196,2020_03_08-02:00:00
74,ES1892A,no2,56,ES,Barcelona,41.4439835604671,2.237875306,2020_03_08-02:00:00
75,ES0971A,no2,42,ES,Barcelona,41.4507693384671,1.974887306,2020_03_08-02:00:00
76,ES0691A,no2,50,ES,Barcelona,41.4038818504672,2.204522594,2020_03_08-02:00:00
77,ES1551A,no2,38,ES,Barcelona,41.512675807467,2.125383709,2020_03_08-02:00:00
78,ES1339A,no2,20,ES,Barcelona,41.2190364604676,1.721248774,2020_03_08-02:00:00
79,ES1679A,no2,48,ES,Barcelona,41.3864139334672,2.187416735,2020_03_08-02:00:00
80,ES0584A,no2,37,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-02:00:00
81,ES1126A,no2,45,ES,Barcelona,41.4754091344671,1.921203402,2020_03_08-02:00:00
82,ES1396A,no2,28,ES,Barcelona,41.3788028014672,2.133098078,2020_03_08-02:00:00
83,ES0694A,no2,30,ES,Barcelona,41.3921574584672,2.009802277,2020_03_08-02:00:00
84,ES1684A,no2,42,ES,Barcelona,41.492082862467,2.042497085,2020_03_08-02:00:00
85,ES1992A,no2,19,ES,Barcelona,41.3874846394672,2.115149666,2020_03_08-02:00:00
86,ES0692A,no2,29,ES,Barcelona,41.3705041074673,2.114973082,2020_03_08-02:00:00
87,ES1891A,no2,25,ES,Barcelona,41.5986669004668,2.287117688,2020_03_08-02:00:00
88,ES1453A,no2,53,ES,Barcelona,41.4473502534671,2.209511187,2020_03_08-02:00:00
89,ES1816A,no2,26,ES,Barcelona,41.5471597114669,2.443253787,2020_03_08-02:00:00
90,ES1397A,no2,37,ES,Barcelona,42.0032765034659,2.287271914,2020_03_08-02:00:00
91,ES1125A,no2,18,ES,Barcelona,41.7302802604665,1.825306423,2020_03_08-02:00:00
92,ES1262A,no2,14,ES,Barcelona,41.5611753964668,2.101405057,2020_03_08-02:00:00
93,ES1851A,no2,18,ES,Barcelona,42.0979101924658,1.848237224,2020_03_08-02:00:00
94,ES1018A,no2,37,ES,Barcelona,41.5561153974668,2.007401267,2020_03_08-02:00:00
95,ES1856A,no2,23,ES,Barcelona,41.4260771994671,2.147992032,2020_03_08-02:00:00
96,ES1815A,no2,10,ES,Barcelona,41.3468230374673,1.686575492,2020_03_08-02:00:00
97,ES1135A,no2,18,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-02:00:00
98,ES1929A,no2,49,ES,Barcelona,41.3214952094674,2.09772526,2020_03_08-02:00:00
99,ES1923A,no2,2,ES,Barcelona,41.8460342084663,2.217575622,2020_03_08-02:00:00
100,ES1262A,no2,11,ES,Barcelona,41.5611753964668,2.101405057,2020_03_08-03:00:00
101,ES1480A,no2,35,ES,Barcelona,41.3987432504672,2.153385124,2020_03_08-03:00:00
102,ES1891A,no2,20,ES,Barcelona,41.5986669004668,2.287117688,2020_03_08-03:00:00
103,ES1135A,no2,19,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-03:00:00
104,ES1551A,no2,37,ES,Barcelona,41.512675807467,2.125383709,2020_03_08-03:00:00
105,ES1397A,no2,33,ES,Barcelona,42.0032765034659,2.287271914,2020_03_08-03:00:00
106,ES1453A,no2,49,ES,Barcelona,41.4473502534671,2.209511187,2020_03_08-03:00:00
107,ES1125A,no2,20,ES,Barcelona,41.7302802604665,1.825306423,2020_03_08-03:00:00
108,ES1817A,no2,44,ES,Barcelona,41.5267059304669,2.183795315,2020_03_08-03:00:00
109,ES1816A,no2,13,ES,Barcelona,41.5471597114669,2.443253787,2020_03_08-03:00:00
110,ES1992A,no2,16,ES,Barcelona,41.3874846394672,2.115149666,2020_03_08-03:00:00
111,ES1892A,no2,52,ES,Barcelona,41.4439835604671,2.237875306,2020_03_08-03:00:00
112,ES1438A,no2,44,ES,Barcelona,41.3853432834672,2.15382196,2020_03_08-03:00:00
113,ES0692A,no2,33,ES,Barcelona,41.3705041074673,2.114973082,2020_03_08-03:00:00
114,ES1339A,no2,16,ES,Barcelona,41.2190364604676,1.721248774,2020_03_08-03:00:00
115,ES1814A,no2,41,ES,Barcelona,41.5491688934669,2.212050059,2020_03_08-03:00:00
116,ES1126A,no2,39,ES,Barcelona,41.4754091344671,1.921203402,2020_03_08-03:00:00
117,ES1275A,no2,21,ES,Barcelona,41.6890494414666,2.495746675,2020_03_08-03:00:00
118,ES1815A,no2,9,ES,Barcelona,41.3468230374673,1.686575492,2020_03_08-03:00:00
119,ES1679A,no2,34,ES,Barcelona,41.3864139334672,2.187416735,2020_03_08-03:00:00
120,ES0584A,no2,43,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-03:00:00
121,ES1148A,no2,59,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-03:00:00
122,ES0694A,no2,32,ES,Barcelona,41.3921574584672,2.009802277,2020_03_08-03:00:00
123,ES0691A,no2,37,ES,Barcelona,41.4038818504672,2.204522594,2020_03_08-03:00:00
124,ES1923A,no2,3,ES,Barcelona,41.8460342084663,2.217575622,2020_03_08-03:00:00
125,ES1929A,no2,39,ES,Barcelona,41.3214952094674,2.09772526,2020_03_08-03:00:00
126,ES0971A,no2,36,ES,Barcelona,41.4507693384671,1.974887306,2020_03_08-03:00:00
127,ES1778A,no2,2,ES,Barcelona,41.7793434514664,2.358018901,2020_03_08-03:00:00
128,ES1773A,no2,11,ES,Barcelona,41.2022318394677,1.672200024,2020_03_08-03:00:00
129,ES1396A,no2,38,ES,Barcelona,41.3788028014672,2.133098078,2020_03_08-03:00:00
130,ES1851A,no2,12,ES,Barcelona,42.0979101924658,1.848237224,2020_03_08-03:00:00
131,ES1684A,no2,36,ES,Barcelona,41.492082862467,2.042497085,2020_03_08-03:00:00
132,ES1856A,no2,16,ES,Barcelona,41.4260771994671,2.147992032,2020_03_08-03:00:00
133,ES1018A,no2,20,ES,Barcelona,41.5561153974668,2.007401267,2020_03_08-03:00:00
134,ES1135A,no2,16,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-04:00:00
135,ES1891A,no2,22,ES,Barcelona,41.5986669004668,2.287117688,2020_03_08-04:00:00
136,ES1275A,no2,21,ES,Barcelona,41.6890494414666,2.495746675,2020_03_08-04:00:00
137,ES0691A,no2,22,ES,Barcelona,41.4038818504672,2.204522594,2020_03_08-04:00:00
138,ES1929A,no2,37,ES,Barcelona,41.3214952094674,2.09772526,2020_03_08-04:00:00
139,ES1453A,no2,42,ES,Barcelona,41.4473502534671,2.209511187,2020_03_08-04:00:00
140,ES1396A,no2,26,ES,Barcelona,41.3788028014672,2.133098078,2020_03_08-04:00:00
141,ES1814A,no2,33,ES,Barcelona,41.5491688934669,2.212050059,2020_03_08-04:00:00
142,ES1684A,no2,47,ES,Barcelona,41.492082862467,2.042497085,2020_03_08-04:00:00
143,ES1018A,no2,13,ES,Barcelona,41.5561153974668,2.007401267,2020_03_08-04:00:00
144,ES1126A,no2,34,ES,Barcelona,41.4754091344671,1.921203402,2020_03_08-04:00:00
145,ES1817A,no2,40,ES,Barcelona,41.5267059304669,2.183795315,2020_03_08-04:00:00
146,ES1262A,no2,10,ES,Barcelona,41.5611753964668,2.101405057,2020_03_08-04:00:00
147,ES1851A,no2,8,ES,Barcelona,42.0979101924658,1.848237224,2020_03_08-04:00:00
148,ES0694A,no2,42,ES,Barcelona,41.3921574584672,2.009802277,2020_03_08-04:00:00
149,ES1778A,no2,2,ES,Barcelona,41.7793434514664,2.358018901,2020_03_08-04:00:00
150,ES1856A,no2,7,ES,Barcelona,41.4260771994671,2.147992032,2020_03_08-04:00:00
151,ES1992A,no2,6,ES,Barcelona,41.3874846394672,2.115149666,2020_03_08-04:00:00
152,ES1815A,no2,11,ES,Barcelona,41.3468230374673,1.686575492,2020_03_08-04:00:00
153,ES1339A,no2,14,ES,Barcelona,41.2190364604676,1.721248774,2020_03_08-04:00:00
154,ES1148A,no2,54,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-04:00:00
155,ES1923A,no2,4,ES,Barcelona,41.8460342084663,2.217575622,2020_03_08-04:00:00
156,ES1816A,no2,11,ES,Barcelona,41.5471597114669,2.443253787,2020_03_08-04:00:00
157,ES0692A,no2,17,ES,Barcelona,41.3705041074673,2.114973082,2020_03_08-04:00:00
158,ES1438A,no2,37,ES,Barcelona,41.3853432834672,2.15382196,2020_03_08-04:00:00
159,ES1892A,no2,37,ES,Barcelona,41.4439835604671,2.237875306,2020_03_08-04:00:00
160,ES1125A,no2,15,ES,Barcelona,41.7302802604665,1.825306423,2020_03_08-04:00:00
161,ES1480A,no2,26,ES,Barcelona,41.3987432504672,2.153385124,2020_03_08-04:00:00
162,ES1773A,no2,6,ES,Barcelona,41.2022318394677,1.672200024,2020_03_08-04:00:00
163,ES0971A,no2,41,ES,Barcelona,41.4507693384671,1.974887306,2020_03_08-04:00:00
164,ES0584A,no2,50,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-04:00:00
165,ES1679A,no2,18,ES,Barcelona,41.3864139334672,2.187416735,2020_03_08-04:00:00
166,ES1551A,no2,44,ES,Barcelona,41.512675807467,2.125383709,2020_03_08-04:00:00
167,ES1397A,no2,35,ES,Barcelona,42.0032765034659,2.287271914,2020_03_08-04:00:00
168,ES1480A,no2,24,ES,Barcelona,41.3987432504672,2.153385124,2020_03_08-05:00:00
169,ES0694A,no2,39,ES,Barcelona,41.3921574584672,2.009802277,2020_03_08-05:00:00
170,ES1929A,no2,39,ES,Barcelona,41.3214952094674,2.09772526,2020_03_08-05:00:00
171,ES1125A,no2,11,ES,Barcelona,41.7302802604665,1.825306423,2020_03_08-05:00:00
172,ES1923A,no2,4,ES,Barcelona,41.8460342084663,2.217575622,2020_03_08-05:00:00
173,ES1397A,no2,34,ES,Barcelona,42.0032765034659,2.287271914,2020_03_08-05:00:00
174,ES1816A,no2,8,ES,Barcelona,41.5471597114669,2.443253787,2020_03_08-05:00:00
175,ES1891A,no2,29,ES,Barcelona,41.5986669004668,2.287117688,2020_03_08-05:00:00
176,ES1815A,no2,10,ES,Barcelona,41.3468230374673,1.686575492,2020_03_08-05:00:00
177,ES1814A,no2,28,ES,Barcelona,41.5491688934669,2.212050059,2020_03_08-05:00:00
178,ES1126A,no2,28,ES,Barcelona,41.4754091344671,1.921203402,2020_03_08-05:00:00
179,ES1851A,no2,7,ES,Barcelona,42.0979101924658,1.848237224,2020_03_08-05:00:00
180,ES1262A,no2,10,ES,Barcelona,41.5611753964668,2.101405057,2020_03_08-05:00:00
181,ES1856A,no2,16,ES,Barcelona,41.4260771994671,2.147992032,2020_03_08-05:00:00
182,ES1018A,no2,13,ES,Barcelona,41.5561153974668,2.007401267,2020_03_08-05:00:00
183,ES1684A,no2,42,ES,Barcelona,41.492082862467,2.042497085,2020_03_08-05:00:00
184,ES1339A,no2,12,ES,Barcelona,41.2190364604676,1.721248774,2020_03_08-05:00:00
185,ES0971A,no2,32,ES,Barcelona,41.4507693384671,1.974887306,2020_03_08-05:00:00
186,ES1778A,no2,2,ES,Barcelona,41.7793434514664,2.358018901,2020_03_08-05:00:00
187,ES1135A,no2,15,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-05:00:00
188,ES1551A,no2,52,ES,Barcelona,41.512675807467,2.125383709,2020_03_08-05:00:00
189,ES1148A,no2,55,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-05:00:00
190,ES0691A,no2,22,ES,Barcelona,41.4038818504672,2.204522594,2020_03_08-05:00:00
191,ES1275A,no2,18,ES,Barcelona,41.6890494414666,2.495746675,2020_03_08-05:00:00
192,ES1817A,no2,37,ES,Barcelona,41.5267059304669,2.183795315,2020_03_08-05:00:00
193,ES1453A,no2,32,ES,Barcelona,41.4473502534671,2.209511187,2020_03_08-05:00:00
194,ES1679A,no2,19,ES,Barcelona,41.3864139334672,2.187416735,2020_03_08-05:00:00
195,ES0584A,no2,30,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-05:00:00
196,ES1396A,no2,23,ES,Barcelona,41.3788028014672,2.133098078,2020_03_08-05:00:00
197,ES1892A,no2,29,ES,Barcelona,41.4439835604671,2.237875306,2020_03_08-05:00:00
198,ES1438A,no2,25,ES,Barcelona,41.3853432834672,2.15382196,2020_03_08-05:00:00
199,ES0692A,no2,16,ES,Barcelona,41.3705041074673,2.114973082,2020_03_08-05:00:00
200,ES1773A,no2,4,ES,Barcelona,41.2022318394677,1.672200024,2020_03_08-05:00:00
201,ES1992A,no2,9,ES,Barcelona,41.3874846394672,2.115149666,2020_03_08-05:00:00
202,ES1480A,no2,24,ES,Barcelona,41.3987432504672,2.153385124,2020_03_08-06:00:00
203,ES1275A,no2,19,ES,Barcelona,41.6890494414666,2.495746675,2020_03_08-06:00:00
204,ES0971A,no2,27,ES,Barcelona,41.4507693384671,1.974887306,2020_03_08-06:00:00
205,ES0694A,no2,32,ES,Barcelona,41.3921574584672,2.009802277,2020_03_08-06:00:00
206,ES1135A,no2,13,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-06:00:00
207,ES1815A,no2,13,ES,Barcelona,41.3468230374673,1.686575492,2020_03_08-06:00:00
208,ES1684A,no2,34,ES,Barcelona,41.492082862467,2.042497085,2020_03_08-06:00:00
209,ES1816A,no2,10,ES,Barcelona,41.5471597114669,2.443253787,2020_03_08-06:00:00
210,ES1929A,no2,42,ES,Barcelona,41.3214952094674,2.09772526,2020_03_08-06:00:00
211,ES1125A,no2,14,ES,Barcelona,41.7302802604665,1.825306423,2020_03_08-06:00:00
212,ES1923A,no2,10,ES,Barcelona,41.8460342084663,2.217575622,2020_03_08-06:00:00
213,ES0584A,no2,30,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-06:00:00
214,ES1397A,no2,33,ES,Barcelona,42.0032765034659,2.287271914,2020_03_08-06:00:00
215,ES1814A,no2,38,ES,Barcelona,41.5491688934669,2.212050059,2020_03_08-06:00:00
216,ES1126A,no2,25,ES,Barcelona,41.4754091344671,1.921203402,2020_03_08-06:00:00
217,ES1148A,no2,45,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-06:00:00
218,ES1679A,no2,19,ES,Barcelona,41.3864139334672,2.187416735,2020_03_08-06:00:00
219,ES1892A,no2,26,ES,Barcelona,41.4439835604671,2.237875306,2020_03_08-06:00:00
220,ES1438A,no2,34,ES,Barcelona,41.3853432834672,2.15382196,2020_03_08-06:00:00
221,ES0692A,no2,27,ES,Barcelona,41.3705041074673,2.114973082,2020_03_08-06:00:00
222,ES1453A,no2,33,ES,Barcelona,41.4473502534671,2.209511187,2020_03_08-06:00:00
223,ES1551A,no2,50,ES,Barcelona,41.512675807467,2.125383709,2020_03_08-06:00:00
224,ES0691A,no2,34,ES,Barcelona,41.4038818504672,2.204522594,2020_03_08-06:00:00
225,ES1018A,no2,18,ES,Barcelona,41.5561153974668,2.007401267,2020_03_08-06:00:00
226,ES1992A,no2,8,ES,Barcelona,41.3874846394672,2.115149666,2020_03_08-06:00:00
227,ES1851A,no2,6,ES,Barcelona,42.0979101924658,1.848237224,2020_03_08-06:00:00
228,ES1262A,no2,14,ES,Barcelona,41.5611753964668,2.101405057,2020_03_08-06:00:00
229,ES1773A,no2,4,ES,Barcelona,41.2022318394677,1.672200024,2020_03_08-06:00:00
230,ES1778A,no2,2,ES,Barcelona,41.7793434514664,2.358018901,2020_03_08-06:00:00
231,ES1817A,no2,32,ES,Barcelona,41.5267059304669,2.183795315,2020_03_08-06:00:00
232,ES1856A,no2,63,ES,Barcelona,41.4260771994671,2.147992032,2020_03_08-06:00:00
233,ES1339A,no2,13,ES,Barcelona,41.2190364604676,1.721248774,2020_03_08-06:00:00
234,ES1396A,no2,13,ES,Barcelona,41.3788028014672,2.133098078,2020_03_08-06:00:00
235,ES1891A,no2,30,ES,Barcelona,41.5986669004668,2.287117688,2020_03_08-06:00:00
236,ES1851A,no2,5,ES,Barcelona,42.0979101924658,1.848237224,2020_03_08-07:00:00
237,ES1814A,no2,35,ES,Barcelona,41.5491688934669,2.212050059,2020_03_08-07:00:00
238,ES1438A,no2,37,ES,Barcelona,41.3853432834672,2.15382196,2020_03_08-07:00:00
239,ES0692A,no2,40,ES,Barcelona,41.3705041074673,2.114973082,2020_03_08-07:00:00
240,ES1892A,no2,30,ES,Barcelona,41.4439835604671,2.237875306,2020_03_08-07:00:00
241,ES0694A,no2,28,ES,Barcelona,41.3921574584672,2.009802277,2020_03_08-07:00:00
242,ES0691A,no2,37,ES,Barcelona,41.4038818504672,2.204522594,2020_03_08-07:00:00
243,ES1126A,no2,20,ES,Barcelona,41.4754091344671,1.921203402,2020_03_08-07:00:00
244,ES0584A,no2,24,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-07:00:00
245,ES1891A,no2,44,ES,Barcelona,41.5986669004668,2.287117688,2020_03_08-07:00:00
246,ES1551A,no2,39,ES,Barcelona,41.512675807467,2.125383709,2020_03_08-07:00:00
247,ES1135A,no2,11,ES,Barcelona,41.5776268914668,1.625893365,2020_03_08-07:00:00
248,ES1817A,no2,28,ES,Barcelona,41.5267059304669,2.183795315,2020_03_08-07:00:00
249,ES1275A,no2,24,ES,Barcelona,41.6890494414666,2.495746675,2020_03_08-07:00:00
250,ES0971A,no2,30,ES,Barcelona,41.4507693384671,1.974887306,2020_03_08-07:00:00
251,ES1992A,no2,5,ES,Barcelona,41.3874846394672,2.115149666,2020_03_08-07:00:00
252,ES1816A,no2,14,ES,Barcelona,41.5471597114669,2.443253787,2020_03_08-07:00:00
253,ES1480A,no2,31,ES,Barcelona,41.3987432504672,2.153385124,2020_03_08-07:00:00
254,ES1262A,no2,15,ES,Barcelona,41.5611753964668,2.101405057,2020_03_08-07:00:00
255,ES1018A,no2,17,ES,Barcelona,41.5561153974668,2.007401267,2020_03_08-07:00:00
256,ES1125A,no2,16,ES,Barcelona,41.7302802604665,1.825306423,2020_03_08-07:00:00
257,ES1339A,no2,14,ES,Barcelona,41.2190364604676,1.721248774,2020_03_08-07:00:00
258,ES1679A,no2,24,ES,Barcelona,41.3864139334672,2.187416735,2020_03_08-07:00:00
259,ES1684A,no2,33,ES,Barcelona,41.492082862467,2.042497085,2020_03_08-07:00:00
260,ES1148A,no2,48,ES,Barcelona,41.4256209034672,2.222244805,2020_03_08-07:00:00
261,ES1929A,no2,40,ES,Barcelona,41.3214952094674,2.09772526,2020_03_08-07:00:00
262,ES1856A,no2,38,ES,Barcelona,41.4260771994671,2.147992032,2020_03_08-07:00:00
263,ES1815A,no2,14,ES,Barcelona,41.3468230374673,1.686575492,2020_03_08-07:00:00
264,ES1923A,no2,9,ES,Barcelona,41.8460342084663,2.217575622,2020_03_08-07:00:00
265,ES1453A,no2,33,ES,Barcelona,41.4473502534671,2.209511187,2020_03_08-07:00:00
266,ES1397A,no2,32,ES,Barcelona,42.0032765034659,2.287271914,2020_03_08-07:00:00
267,ES1396A,no2,19,ES,Barcelona,41.3788028014672,2.133098078,2020_03_08-07:00:00
268,ES1773A,no2,5,ES,Barcelona,41.2022318394677,1.672200024,2020_03_08-07:00:00
269,ES1778A,no2,1,ES,Barcelona,41.7793434514664,2.358018901,2020_03_08-07:00:00
270,ES1815A,no2,11,ES,Barcelona,41.3468230374673,1.686575492,2020_03_08-08:00:00
271,ES0584A,no2,22,ES,Barcelona,41.482016278467,2.188296656,2020_03_08-08:00:00
272,ES1679A,no2,36,ES,Barcelona,41.3864139334672,2.187416735,2020_03_08-08:00:00
273,ES1891A,no2,47,ES,Barcelona,41.5986669004668,2.287117688,2020_03_08-08:00:00
274,ES1684A,no2,30,ES,Barcelona,41.492082862467,2.042497085,2020_03_08-08:00:00
275,ES1856A,no2,36,ES,Barcelona,41.4260771994671,2.147992032,2020_03_08-08:00:00
276,ES0694A,no2,28,ES,Barcelona,41.3921574584672,2.009802277,2020_03_08-08:00:00
277,ES1817A,no2,29,ES,Barcelona,41.5267059304669,2.183795315,2020_03_08-08:00:00
278,ES1929A,no2,35,ES,Barcelona,41.3214952094674,2.09772526,2020_03_08-08:00:00
279,ES0692A,no2,59,ES,Barcelona,41.3705041074673,2.114973082,2020_03_08-08:00:00
280,ES1438A,no2,40,ES,Barcelona,41.3853432834672,2.15382196,2020_03_08-08:00:00
281,ES1892A,no2,31,ES,Barcelona,41.4439835604671,2.237875306,2020_03_08-08:00:00
282,ES1018A,no2,26,ES,Barcelona,41.5561153974668,2.007401267,2020_03_08-08:00:00
283,ES1551A,no2,32,ES,Barcelona,41.512675807467,2.125383709,2020_03_08-08:00:00
284,ES1814A,no2,30,ES,Barcelona,41.5491688934669,2.212050059,2020_03_08-08:00:00
